#,cocktail_id,cocktail_name,is_alcoholic,serving_glass,cocktail_picture,cocktail_details,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line
1,15300,3-Mile Long Island Iced Tea,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,gin,0.337380952,1/2 oz gin,rum,0.337380952,1/2 oz light rum,tequila,0.337380952,1/2 oz tequila,triple sec,0.38401084,1/2 oz triple sec,vodka,0.337380952,1/2 oz vodka,coca cola,1,coca cola,sweet and sour sauce,1,1 2 dash sweet and sour,bitters,1,1 wedge bitters,lemon,1,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14598,50/50,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,vanilla vodka,1.77125,2 1/2 oz vanilla vodka,orange liqueur,1,1 splash grand marnier,orange juice,1,fill with orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13940,69 Special,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",gin,1.34952381,2 oz dry gin,7 up,0.308043478,4 oz 7 up,lemon juice,4.251,0.75 oz lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15200,A Day at the Beach,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",coconut rum,0.687030303,1 oz coconut rum,amaretto liqueur,0.407183908,1/2 oz amaretto,orange juice,0.455261044,4 oz orange juice,grenadine,0.7085,1/2 oz grenadine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11000,A Furlong Too Late,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,rum,1.34952381,2 oz light rum,ginger beer,0.296753927,4 oz ginger beer,lemon peel,1,1 twist of lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11001,A Night In Old Mandalay,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,"In a shaker half-filled with ice cubes, combine the light rum, anejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",rum,0.674761905,1 oz light rum,rum,0.674761905,1 oz anejo rum,orange juice,0.113815261,1 oz orange juice,lemon juice,2.834,1/2 oz lemon juice,ginger ale,0.232295082,3 oz ginger ale,lemon peel,1,1 twist of lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11003,Abbey Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,gin,1.012142857,1 1/2 oz gin,bitters,1,1 dash orange bitters,orange,0.25,juice of 1/4 orange,cherry,1,1 cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11004,Abilene,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,rum,1.012142857,1 1/2 oz dark rum,peach,0.323885714,2 oz peach nectar,orange juice,0.341445783,3 oz orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15597,Absolut Stress #2,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Mix well. Garnish with Orange and Cherry. Enjoy,vodka,1.012142857,1 1/2 oz absolut vodka,schnapps,0.464133639,1/2 oz peach schnapps,coconut,0.166705882,1/2 oz coconut liqueur,cranberry juice,0.21255,1 1/2 oz cranberry juice,pineapple juice,0.17004,1 1/2 oz pineapple juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15024,Absolutely Cranberry Smash,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Stir ingredients together. Serve over ice.,vodka,1.34952381,2 oz absolut vodka,cranberry juice,0.5668,4 oz cranberry juice,ginger ale,0.154863388,2 oz ginger ale,ice,1,add ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
