#,ingredient_name,serving_quantity,serving_unit,serving_weight_grams,sugar_mg,iron_mg,calcium_mg,sodium_mg,protein_mg,cholesterol_mg,potassium_mg,lactose_mg,vitamin_C_mg,saturated_fat_mg,trans_fat_mg,dietary_fiber_mg,calories_kcal,alcohol_mg,magnesium_mg,zinc_mg
1,chunk light tuna,1,cans,165,0,2.6895,28.05,407.55,32076,59.4,295.35,0,0,348.2,3.3,0,141.9,0,37.95,1.1385
2,beef strips,4,oz,114,0,2.1774,7.98,66.12,21295.2,75.24,348.84,0,0,7877.4,0,0,266.76,0,21.66,4.275
3,fava beans,1,cups,150,8550,10.05,154.5,19.5,39180,0,1593,0,2.1,381,0,37500,511.5,0,288,4.71
4,macadamia nuts,1,oz (10-12 kernels),28.35,1295.6,1.0461,24.0975,1.4175,2242.5,0,104.328,0,0.3402,3419.3,0,2438.1,203.553,0,36.855,0.3686
5,leafy greens,2,cups shredded,94,1118.6,0.9118,31.02,7.52,1156.2,0,232.18,0,3.76,36.7,0,1974,15.98,0,13.16,0.2162
6,sweetened coconut,1,cups,85,31237.5,1.2835,9.35,242.25,2660.5,0,306.85,0,0,22436.6,1.7,8415,387.6,0,43.35,0.6035
7,chicken drumettes,1,wingette or drummette,26.79,64.9,0.3109,5.3302,105.2761,4526.5,21.9538,45.8834,0,0.6994,2314.3,63.7,107.7,87.7383,0,4.0566,0.3193
8,baking chocolate,1,oz,28.35,258,4.9329,28.6335,6.804,4059.7,0.567,235.305,0,0,9150.5,0,4706.1,182.007,0,92.7045,2.7301
9,corn flakes cereal,1,cups,28,2660,8.092,1.4,204.12,2100,0,47.04,0,5.88,32.5,0,924,99.96,0,10.92,0.28
10,red cabbage,1,cups,89,3408.7,0.712,40.05,24.03,1272.7,0,216.27,0,50.73,18.7,0,1869,27.59,0,14.24,0.1958
11,bucatini,1,cups,91,2429.7,3.003,19.11,5.46,11866.4,0,202.93,0,0,252.1,0,2912,337.61,0,48.23,1.2831
12,sundried tomatoes packed in oil,1,pieces,3,0,0.0804,1.41,7.98,151.8,0,46.95,0,3.054,56.8,0,174,6.39,0,2.43,0.0234
13,gala apples,1,medium,172,17836.4,0.2064,12.04,1.72,430,0,185.76,0,0,0,0,3956,98.04,0,8.6,0.086
14,pineapple juice,1,cups,250,24950,0.775,32.5,5,900,0,325,0,109.5,20,0,500,132.5,0,30,0.275
15,fried onions,2,tbsp,12.6,589.7,0.0895,2.646,87.192,616.1,0,17.892,0,0,430.3,23.1,327.6,44.856,0,2.394,0.0643
16,shredded cheddar,0.25,cups,28.25,135.6,0.0396,200.575,184.4725,6460.8,27.9675,21.47,33.9,0,5329.9,259.1,0,114.13,0,7.6275,1.0283
17,egg roll wrappers,1,"wrapper, eggroll (7"" square)",32,0,1.0752,15.04,183.04,3136,2.88,26.24,0,0,84.2,0,576,93.12,0,6.4,0.2272
18,pancetta,1,oz,28.35,0,0.1474,1.4175,9.072,2647.9,20.412,52.4475,0,0.0851,5480.1,0,0,146.853,0,1.134,0.2892
19,daal,1,cups,214.26,4529.6,5.7971,43.78,431.3574,14251.4,0,713.1542,0,11.8382,610.7,0.2,12890.1,221.8778,0,64.9755,2.0865
20,unsweetened coconut,0.25,cups,21.25,1561.9,0.7055,5.525,7.8625,1462,0,115.3875,0,0.3188,12158.8,0,3463.8,140.25,0,19.125,0.4271
21,garlic clove,1,cloves,3,30,0.051,5.43,0.51,190.8,0,12.03,0,0.936,2.7,0,63,4.47,0,0.75,0.0348
22,crushed pineapple with juice,1,cups,249,35980.5,0.6972,34.86,2.49,1045.8,0,303.78,0,23.655,14.9,0,1992,149.4,0,34.86,0.249
23,mango powder,1,tsp,20,2732,0.032,2.2,0.2,164,0,33.6,0,7.28,18.4,0,320,12,0,2,0.018
24,bean chili,1,bowls,509.18,11420.4,6.3486,142.4601,1013.4312,16182.3,0,1395.0163,0,35.9633,653.9,0,18392.5,303.9587,0,125.6826,2.0518
25,fat free cheddar cheese,1,servings,28,0,0,250.04,280,8999.2,5.04,18.48,0,0,0,0,0,43.96,0,4.48,0.5096
26,gluten free spaghetti,1,cups,105,0,0.9765,4.2,3.15,7833,0,308.7,0,0,304.5,0,11550,374.85,0,124.95,1.8795
27,clam sauce,0.5,cups,120,636.6,2.6299,71.1824,669.5146,21969,59.0884,600.0777,0,1.723,4706.5,245.6,454.8,243.3789,0,31.9314,0.8273
28,quince,1,fruit without refuse,92,0,0.644,10.12,3.68,368,0,181.24,0,13.8,9.2,0,1748,52.44,0,7.36,0.0368
29,flaxseed meal,2,tbsp,13,201.5,0.7449,33.15,3.9,2377.7,0,105.69,0,0.078,476.2,0,3549,69.42,0,50.96,0.5642
30,potato flour,1,cups,160,5632,2.208,104,88,11040,0,1601.6,0,6.08,144,0,9440,571.2,0,104,0.864
31,diced potatoes,0.5,cups,75,615,0.6075,9,4.5,1537.5,0,318.75,0,14.775,18.8,0,1575,57.75,0,17.25,0.225
32,dried herbs,1,tsp,1.27,24.3,0.756,22.4929,0.5153,103.3,0,13.7786,0,0.4912,39.8,0,532.5,3.5785,0,3.5847,0.0512
